W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,1,1,10,1,1,50,1
10,10,10,1,1,10,1,1,250,2
10,10,10,1,1,10,1,1,1250,3
10,10,10,1,1,10,1,1,3500,4
10,10,10,1,1,10,1,2,50,5
10,10,10,1,1,10,1,2,250,6
10,10,10,1,1,10,1,2,1250,7
10,10,10,1,1,10,1,2,3500,8
10,10,10,1,1,10,1,3,50,9
10,10,10,1,1,10,1,3,250,10
10,10,10,1,1,10,1,3,1250,11
10,10,10,1,1,10,1,3,3500,12
10,10,10,1,1,10,2,1,50,13
10,10,10,1,1,10,2,1,250,14
10,10,10,1,1,10,2,1,1250,15
10,10,10,1,1,10,2,1,3500,16
10,10,10,1,1,10,2,2,50,17
10,10,10,1,1,10,2,2,250,18
10,10,10,1,1,10,2,2,1250,19
10,10,10,1,1,10,2,2,3500,20
10,10,10,1,1,10,2,3,50,21
10,10,10,1,1,10,2,3,250,22
10,10,10,1,1,10,2,3,1250,23
10,10,10,1,1,10,2,3,3500,24
10,10,10,1,1,10,3,1,50,25
10,10,10,1,1,10,3,1,250,26
10,10,10,1,1,10,3,1,1250,27
10,10,10,1,1,10,3,1,3500,28
10,10,10,1,1,10,3,2,50,29
10,10,10,1,1,10,3,2,250,30
10,10,10,1,1,10,3,2,1250,31
10,10,10,1,1,10,3,2,3500,32
10,10,10,1,1,10,3,3,50,33
10,10,10,1,1,10,3,3,250,34
10,10,10,1,1,10,3,3,1250,35
10,10,10,1,1,10,3,3,3500,36
10,10,10,1,1,30,1,1,50,37
10,10,10,1,1,30,1,1,250,38
10,10,10,1,1,30,1,1,1250,39
10,10,10,1,1,30,1,1,3500,40
10,10,10,1,1,30,1,2,50,41
10,10,10,1,1,30,1,2,250,42
10,10,10,1,1,30,1,2,1250,43
10,10,10,1,1,30,1,2,3500,44
10,10,10,1,1,30,1,3,50,45
10,10,10,1,1,30,1,3,250,46
10,10,10,1,1,30,1,3,1250,47
10,10,10,1,1,30,1,3,3500,48
10,10,10,1,1,30,2,1,50,49
10,10,10,1,1,30,2,1,250,50
10,10,10,1,1,30,2,1,1250,51
10,10,10,1,1,30,2,1,3500,52
10,10,10,1,1,30,2,2,50,53
10,10,10,1,1,30,2,2,250,54
10,10,10,1,1,30,2,2,1250,55
10,10,10,1,1,30,2,2,3500,56
10,10,10,1,1,30,2,3,50,57
10,10,10,1,1,30,2,3,250,58
10,10,10,1,1,30,2,3,1250,59
10,10,10,1,1,30,2,3,3500,60
10,10,10,1,1,30,3,1,50,61
10,10,10,1,1,30,3,1,250,62
10,10,10,1,1,30,3,1,1250,63
10,10,10,1,1,30,3,1,3500,64
10,10,10,1,1,30,3,2,50,65
10,10,10,1,1,30,3,2,250,66
10,10,10,1,1,30,3,2,1250,67
10,10,10,1,1,30,3,2,3500,68
10,10,10,1,1,30,3,3,50,69
10,10,10,1,1,30,3,3,250,70
10,10,10,1,1,30,3,3,1250,71
10,10,10,1,1,30,3,3,3500,72
10,10,10,1,1,50,1,1,50,73
10,10,10,1,1,50,1,1,250,74
10,10,10,1,1,50,1,1,1250,75
10,10,10,1,1,50,1,1,3500,76
10,10,10,1,1,50,1,2,50,77
10,10,10,1,1,50,1,2,250,78
10,10,10,1,1,50,1,2,1250,79
10,10,10,1,1,50,1,2,3500,80
10,10,10,1,1,50,1,3,50,81
10,10,10,1,1,50,1,3,250,82
10,10,10,1,1,50,1,3,1250,83
10,10,10,1,1,50,1,3,3500,84
10,10,10,1,1,50,2,1,50,85
10,10,10,1,1,50,2,1,250,86
10,10,10,1,1,50,2,1,1250,87
10,10,10,1,1,50,2,1,3500,88
10,10,10,1,1,50,2,2,50,89
10,10,10,1,1,50,2,2,250,90
10,10,10,1,1,50,2,2,1250,91
10,10,10,1,1,50,2,2,3500,92
10,10,10,1,1,50,2,3,50,93
10,10,10,1,1,50,2,3,250,94
10,10,10,1,1,50,2,3,1250,95
10,10,10,1,1,50,2,3,3500,96
10,10,10,1,1,50,3,1,50,97
10,10,10,1,1,50,3,1,250,98
10,10,10,1,1,50,3,1,1250,99
10,10,10,1,1,50,3,1,3500,100
10,10,10,1,1,50,3,2,50,101
10,10,10,1,1,50,3,2,250,102
10,10,10,1,1,50,3,2,1250,103
10,10,10,1,1,50,3,2,3500,104
10,10,10,1,1,50,3,3,50,105
10,10,10,1,1,50,3,3,250,106
10,10,10,1,1,50,3,3,1250,107
10,10,10,1,1,50,3,3,3500,108
10,10,10,1,1,80,1,1,50,109
10,10,10,1,1,80,1,1,250,110
10,10,10,1,1,80,1,1,1250,111
10,10,10,1,1,80,1,1,3500,112
10,10,10,1,1,80,1,2,50,113
10,10,10,1,1,80,1,2,250,114
10,10,10,1,1,80,1,2,1250,115
10,10,10,1,1,80,1,2,3500,116
10,10,10,1,1,80,1,3,50,117
10,10,10,1,1,80,1,3,250,118
10,10,10,1,1,80,1,3,1250,119
10,10,10,1,1,80,1,3,3500,120
10,10,10,1,1,80,2,1,50,121
10,10,10,1,1,80,2,1,250,122
10,10,10,1,1,80,2,1,1250,123
10,10,10,1,1,80,2,1,3500,124
10,10,10,1,1,80,2,2,50,125
