choice situation,alt1.wa,alt1.ca,alt1.sma,alt1.sna,alt1.cost,alt1.sm_f,alt1.sm_c,alt1.sn_f,alt1.sn_c,alt2.wa,alt2.ca,alt2.sma,alt2.sna,alt2.cost,alt2.sm_f,alt2.sm_c,alt2.sn_f,alt2.sn_c
1,30.0,30.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,30.0,30.0,50.0,50.0,250.0,2.0,2.0,1.0,2.0,,,,,,,,,
3,30.0,30.0,30.0,0.0,100.0,2.0,1.0,0.0,0.0,,,,,,,,,
4,30.0,30.0,80.0,80.0,250.0,1.0,1.0,1.0,2.0,,,,,,,,,
5,30.0,30.0,30.0,30.0,100.0,2.0,2.0,1.0,1.0,,,,,,,,,
6,30.0,30.0,50.0,80.0,1250.0,1.0,1.0,2.0,2.0,,,,,,,,,
7,30.0,30.0,50.0,80.0,100.0,1.0,2.0,1.0,2.0,,,,,,,,,
8,30.0,30.0,50.0,30.0,100.0,2.0,2.0,1.0,1.0,,,,,,,,,
9,50.0,50.0,30.0,30.0,3500.0,1.0,1.0,2.0,2.0,,,,,,,,,
10,30.0,80.0,30.0,80.0,1250.0,2.0,1.0,2.0,1.0,,,,,,,,,
11,30.0,50.0,30.0,80.0,1250.0,2.0,1.0,2.0,1.0,,,,,,,,,
12,30.0,80.0,0.0,80.0,250.0,0.0,0.0,2.0,2.0,,,,,,,,,
13,30.0,50.0,50.0,80.0,100.0,1.0,2.0,1.0,1.0,,,,,,,,,
14,30.0,80.0,0.0,50.0,100.0,0.0,0.0,2.0,1.0,,,,,,,,,
15,30.0,80.0,30.0,50.0,250.0,1.0,1.0,2.0,1.0,,,,,,,,,
16,30.0,80.0,30.0,30.0,3500.0,1.0,2.0,2.0,2.0,,,,,,,,,
17,80.0,50.0,50.0,80.0,100.0,1.0,2.0,1.0,2.0,,,,,,,,,
18,30.0,30.0,0.0,50.0,1250.0,0.0,0.0,1.0,2.0,,,,,,,,,
19,50.0,30.0,30.0,80.0,250.0,1.0,1.0,1.0,2.0,,,,,,,,,
